Page,Tableau,Type,Base Column,Additional Column,Column Index
67,186,Two Columns - Base,Total Activity Budget,,1
67,186,Two Columns - Base,,,1
67,186,Two Columns - Line Break,4020.00 EUR,,2
67,186,Two Columns - Base,,,1
67,186,Two Columns - Line Break,0.00 EUR,,2
67,186,Two Columns - Base,,,1
67,186,Two Columns - Line Break,7392.00 EUR,,2
67,186,Two Columns - Base,,,1
67,186,Two Columns - Line Break,0.00 EUR,,2
67,186,Two Columns - Base,,,1
67,186,Two Columns - Line Break,0.00 EUR,,2
67,186,Two Columns - Base,,,1
67,186,Two Columns - Line Break,11412.00 EUR,,2
68,187,Two Columns - Base,Activity A2,,1
68,187,Two Columns - Base,,,1
68,187,Two Columns - Line Break,Mobility of youth workers - Partner Countries,,2
68,187,Two Columns - Base,,,1
68,187,Two Columns - Line Break,Training course on e-textiles,,2
69,188,One Column,Training course on e-textiles Albania France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 0 0 1 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
70,190,Two Columns - Base,Organisational Support,,1
70,190,Two Columns - Base,,,1
70,190,Two Columns - Line Break,7,,2
70,190,Two Columns - Base,,,1
70,190,Two Columns - Line Break,2,,2
70,190,Two Columns - Base,,,1
70,190,Two Columns - Line Break,66.00 EUR,,2
70,190,Two Columns - Base,,,1
70,190,Two Columns - Line Break,924.00 EUR,,2
70,191,More Than Two Columns,Special Needs' Support; No | No of Participants With Special Needs | Description of Cost Item | Grant Requested (EUR),,All
71,192,More Than Two Columns,Exceptional Costs; No | No of Participants (including accompanying persons) | Description of Cost Item | Grant Requested (EUR),,All
71,193,One Column,No of Participants (including accompanying persons),,1
71,194,Two Columns - Base,Total Activity Budget,,1
71,194,Two Columns - Base,,,1
71,194,Two Columns - Line Break,550.00 EUR,,2
71,194,Two Columns - Base,,,1
71,194,Two Columns - Line Break,0.00 EUR,,2
71,194,Two Columns - Base,,,1
71,194,Two Columns - Line Break,924.00 EUR,,2
71,194,Two Columns - Base,,,1
71,194,Two Columns - Line Break,0.00 EUR,,2
71,194,Two Columns - Base,,,1
71,194,Two Columns - Line Break,0.00 EUR,,2
71,194,Two Columns - Base,,,1
71,194,Two Columns - Line Break,1474.00 EUR,,2
72,195,Two Columns - Base,Activity A3,,1
72,195,Two Columns - Base,,,1
72,195,Two Columns - Line Break,Mobility of youth workers - Programme Countries,,2
72,195,Two Columns - Base,,,1
72,195,Two Columns - Line Break,Training course on constructivist approach to learning,,2
74,196,One Column,Training course on constructivist approach to learning Italy Romania Bucharest 06-11-2018 10-11-2018 500-1999 km 2 0 0 0 0 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
75,198,Two Columns - Base,Organisational Support,,1
75,198,Two Columns - Base,,,1
75,198,Two Columns - Line Break,7,,2
75,198,Two Columns - Base,,,1
75,198,Two Columns - Line Break,2,,2
75,198,Two Columns - Base,,,1
75,198,Two Columns - Line Break,54.00 EUR,,2
75,198,Two Columns - Base,,,1
75,198,Two Columns - Line Break,756.00 EUR,,2
76,199,One Column,Training course on constructivist approach to learning Romania Romania Bucharest 06-11-2018 11-11-2018 100-499 km 2 0 0 0 1 1 6 7 180.00 EUR 2 180.00 EUR 0 360.00 EUR,,1
77,201,Two Columns - Base,Organisational Support,,1
77,201,Two Columns - Base,,,1
77,201,Two Columns - Line Break,7,,2
77,201,Two Columns - Base,,,1
77,201,Two Columns - Line Break,2,,2
77,201,Two Columns - Base,,,1
77,201,Two Columns - Line Break,54.00 EUR,,2
77,201,Two Columns - Base,,,1
77,201,Two Columns - Line Break,756.00 EUR,,2
78,202,One Column,Training course on constructivist approach to learning Romania Romania Bucharest 06-11-2018 11-11-2018 100-499 km 2 0 0 0 0 1 6 7 180.00 EUR 2 180.00 EUR 0 360.00 EUR,,1
79,204,Two Columns - Base,Organisational Support,,1
79,204,Two Columns - Base,,,1
79,204,Two Columns - Line Break,7,,2
79,204,Two Columns - Base,,,1
79,204,Two Columns - Line Break,2,,2
79,204,Two Columns - Base,,,1
79,204,Two Columns - Line Break,54.00 EUR,,2
79,204,Two Columns - Base,,,1
79,204,Two Columns - Line Break,756.00 EUR,,2
80,205,One Column,Training course on constructivist approach to learning Greece Romania Bucharest 06-11-2018 10-11-2018 500-1999 km 2 0 0 0 0 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
81,207,Two Columns - Base,Organisational Support,,1
81,207,Two Columns - Base,,,1
81,207,Two Columns - Line Break,7,,2
81,207,Two Columns - Base,,,1
81,207,Two Columns - Line Break,2,,2
81,207,Two Columns - Base,,,1
81,207,Two Columns - Line Break,54.00 EUR,,2
81,207,Two Columns - Base,,,1
81,207,Two Columns - Line Break,756.00 EUR,,2
82,208,One Column,Training course on constructivist approach to learning United Kingdom Romania Bucharest 06-11-2018 10-11-2018 2000-2999 km 2 0 1 0 1 2 5 7 360.00 EUR 2 180.00 EUR 0 720.00 EUR,,1
83,210,Two Columns - Base,Organisational Support,,1
83,210,Two Columns - Base,,,1
83,210,Two Columns - Line Break,7,,2
83,210,Two Columns - Base,,,1
83,210,Two Columns - Line Break,2,,2
83,210,Two Columns - Base,,,1
83,210,Two Columns - Line Break,54.00 EUR,,2
83,210,Two Columns - Base,,,1
83,210,Two Columns - Line Break,756.00 EUR,,2
84,211,One Column,Training course on constructivist approach to learning France Romania Bucharest 06-11-2018 10-11-2018 500-1999 km 4 0 0 0 2 2 5 7 275.00 EUR 4 180.00 EUR 0 1100.00 EUR,,1
85,213,Two Columns - Base,Organisational Support,,1
85,213,Two Columns - Base,,,1
85,213,Two Columns - Line Break,7,,2
85,213,Two Columns - Base,,,1
85,213,Two Columns - Line Break,4,,2
85,213,Two Columns - Base,,,1
85,213,Two Columns - Line Break,54.00 EUR,,2
85,213,Two Columns - Base,,,1
85,213,Two Columns - Line Break,1512.00 EUR,,2
86,214,One Column,Training course on constructivist approach to learning Latvia Romania Bucharest 06-11-2018 10-11-2018 500-1999 km 2 0 1 0 1 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
87,216,Two Columns - Base,Organisational Support,,1
87,216,Two Columns - Base,,,1
87,216,Two Columns - Line Break,7,,2
87,216,Two Columns - Base,,,1
87,216,Two Columns - Line Break,2,,2
87,216,Two Columns - Base,,,1
87,216,Two Columns - Line Break,54.00 EUR,,2
87,216,Two Columns - Base,,,1
87,216,Two Columns - Line Break,756.00 EUR,,2
87,217,More Than Two Columns,Special Needs' Support; No | No of Participants With Special Needs | Description of Cost Item | Grant Requested (EUR),,All
88,218,More Than Two Columns,Exceptional Costs; No | No of Participants (including accompanying persons) | Description of Cost Item | Grant Requested (EUR),,All
88,219,One Column,No of Participants (including accompanying persons),,1
88,220,Two Columns - Base,Total Activity Budget,,1
88,220,Two Columns - Base,,,1
88,220,Two Columns - Line Break,4190.00 EUR,,2
88,220,Two Columns - Base,,,1
88,220,Two Columns - Line Break,0.00 EUR,,2
88,220,Two Columns - Base,,,1
88,220,Two Columns - Line Break,6048.00 EUR,,2
88,220,Two Columns - Base,,,1
88,220,Two Columns - Line Break,0.00 EUR,,2
88,220,Two Columns - Base,,,1
88,220,Two Columns - Line Break,0.00 EUR,,2
88,220,Two Columns - Base,,,1
88,220,Two Columns - Line Break,10238.00 EUR,,2
89,221,Two Columns - Base,Activity A4,,1
89,221,Two Columns - Base,,,1
89,221,Two Columns - Line Break,Mobility of youth workers - Partner Countries,,2
89,221,Two Columns - Base,,,1
89,221,Two Columns - Line Break,Training course on constructivist approach to learning,,2
90,222,One Column,Training course on constructivist approach to learning Albania Romania Bucharest 06-11-2018 10-11-2018 500-1999 km 2 0 0 0 1 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
91,224,Two Columns - Base,Organisational Support,,1
91,224,Two Columns - Base,,,1
91,224,Two Columns - Line Break,7,,2
91,224,Two Columns - Base,,,1
91,224,Two Columns - Line Break,2,,2
91,224,Two Columns - Base,,,1
91,224,Two Columns - Line Break,54.00 EUR,,2
91,224,Two Columns - Base,,,1
91,224,Two Columns - Line Break,756.00 EUR,,2
91,225,More Than Two Columns,Special Needs' Support; No | No of Participants With Special Needs | Description of Cost Item | Grant Requested (EUR),,All
92,226,More Than Two Columns,Exceptional Costs; No | No of Participants (including accompanying persons) | Description of Cost Item | Grant Requested (EUR),,All
92,227,One Column,No of Participants (including accompanying persons),,1
92,228,Two Columns - Base,Total Activity Budget,,1
92,228,Two Columns - Base,,,1
92,228,Two Columns - Line Break,550.00 EUR,,2
92,228,Two Columns - Base,,,1
92,228,Two Columns - Line Break,0.00 EUR,,2
92,228,Two Columns - Base,,,1
92,228,Two Columns - Line Break,756.00 EUR,,2
92,228,Two Columns - Base,,,1
92,228,Two Columns - Line Break,0.00 EUR,,2
92,228,Two Columns - Base,,,1
92,228,Two Columns - Line Break,0.00 EUR,,2
92,228,Two Columns - Base,,,1
92,228,Two Columns - Line Break,1306.00 EUR,,2
93,229,One Column,"IMPACT ON PARTICIPANTS Participants will gain insights into educational activities on making an digital science, especially girl-inclusive workhsops focused on these topics. This, in turn, will impact their work in the following ways: - their professional practices will be richer as a result of introduction of new pedagogical tools - they will be able to appreciate risks and opportunities for youngsters, behind existing and future technologies - they will be able to better respond to their public needs especially when it comes to bridging the digital divide gap - they will be able to identify potential partnerships/collaborations with places and communities for the dissemination for digital/ make face the challenge of uneven opportunities when it comes to youth participation to digital/maker communities - participants will be more confident in adopting consructivist teaching methods for professional purposes - increased motivation to constantly innovate their professional practices insofar as the universe of digital technologies is itself subject to permanent evolution - participants further mobility projects - participants will develop a set of attributes which will be useful for personal and professional growth, especially given that ICT skills are highly demanded in all professional sectors IMPACT ON YOUNGSTERS (in the long term) By taking part in the training, participants wil acquire important skills and knowledge to lead activities based on a constructivist approach with the target public. Engaging in this type of activities entails a number of positive consequences for youngsters: - producing artifact (whether embedding electronic devices or not) often involve acting b trail and error. Exploration, experimentation, play, and collaboration with others are essential elements of the process. Consequently, youngsters also learn to learn. - knowledge happens remarkably well when learners build, make, and publicly share objects - youngsters will be able to rely on support of educators to approach and get involved in virtual or real communities of makers Participation to such communities could represent a powerful tool through which youth reactivates from a social, professional, educational point of view - youngsters experimenting constructivist learning methods will benefit form learning which is meaningful and contextualized IMPACT ON PARTICIPATING ORGANISATIONS Although members of Digijeunes have an extensive experience in youth work, the organization itself is relatively young and Digijeunes presently needs to extend its partnership at a local and international level. This project will provide future internationa opportunities and is also expected to improve the visibility and attractiveness of the organization locally (notably via gatherings of NGOs, European mobility forums, etc.). Digijeunes will take stock o technologies. It will also benefit from direct and in depth feedback about its practices/activities/ pedagogical methods. The same shall apply to all other partner organizations. Partner organizations will consolidate relations among each other, to operate more efficiently in the domain of internat cooperation. Partner organizations will envisage new kinds of youth initiatives in their countries, mainly on sustainable development, digital technologies and related topics. All participating organizations will be able to rely more heavily on participants for technical and pedagogical assistance concerning youth initiatives.",,1
94,233,One Column,"LOCAL/REGIONAL This mobility project shall inject novel ideas into the electronics and making workshops held by some of the partner organizations (ex. Exploring senses, Nod Makerspace, Arduino Albania) and promote this practice across their professional networks. Other participating orgazations with fewer expertise on this topic will be able to launch their own educational intaitives on pariticipation of local youth to mobility activities organized within the framework of Erasmus + Programme. In fact, the first and (so far) only Erasmus+ awareness raising event was held in Carcassonne in autumn 2016. Holding the second mobility activity in Bucharest has a strategic meaning. Romania hosts today several factories of western European brands (textiles, fashion industry, vehicles manufacture). The trip to Calarasi that is planned on the occasion of the mobility activity in Bucharest shall serve to trigger participants' reflection on the topic of relocating manufacture abroad where labor is cheaper, and shall also provide a trigger for debating such issues European countries (whether they are engaged in the maker movement locally or not). They may envisage partnerships together after this mobility project, or simply establish durable exchange between them. All in all, this should serve to add a positive note to the maker setting in Romania, and boost its growth. As a result of this mobility experience, thanks to the learning about digital mediation as well as means for the promotion of maker culture (ex. maker week, code week, hachaton, their own digital mediation events open to the general public, in the areas where they operate. This should result in overall greater permeability of the maker culture and knoweldge of the maker movement across Europe. Locally, the project shall also have an impact on policy makers. They shal be sensitized to the potential of ICT and making activities to reactivate youth, to the need of instructional environments, youth centres, etc. NATIONAL At the moment, there exist a few initaitive in France aimed at presenting digital technologies and e-textile from an educational point of view. Fo example, training courses for teachers/educators. These, however, very often require a remarkabl to be complementary to existing programmes, and provide the opporunity to youth workers from France and abroad to explore these topics for professional purposes, without having to commit substantial financial ressources of their own. We would also like to sensitize all pariticipating organizations and their respective professional networks (at national level) to the possibility of interfacing youth work with the maker communities, notably by running educational making workshops in places for digital and DIY culture (fablabs, makerspaces, etc.). Consequently participating organizations may initiate a new dynamic in their countries, whereby youth work will rely more heavily on the maker communities to innovate and improve the offer for non formal educational activities for a young audience. Additionally, participating organizations shall disseminate across their professional networks about the possibility of relying on EU funding to organize youth worker training courses; as a result, more initiatives of this kind (especialy on topics pertaining to digital youth work) shall crop up in their respective countries, in the future. EUROPEAN and INTERNATIONAL We would like to contribute to the generation of a network for digital youth worker across Europe. To this end, Digijeunes is currenlty in touch with organizing committes of previous work-, traing course in Warsaw -IT tools in non formal education of young people-). As the outputs of the training as well as resources that will be produced will be available without restrictions on several on-line platforms (ex. Digijeunes.com, participating organization's social networks, OBA.com, salt youth.net), youth workers and educators internationally will have enough material at their disposal to multiply activities on e-textiles and targeting youngsters. This shall consequently impact youth work internationally, by encouraging the emergence of making workshop, especially girl-inclusive workhsops.",,1
96,241,One Column,"The targets of dissemination activities are youth workers/educators, educational institutions/organizations active in youth work and based in the participating organizations' countries as well as across Europe, instructional environments (museums, libraries, etc.), individuals (adults, families), research centres involved in digital education: Laboral (centro de arte y creacion industrial in Spain) and Dimeb (research group Digital Media in education, at the University of Bremen, DE) Youth workers will be reached in order to raise their awareness on the potential of e-textiles to support creation of girl inclusive making workshops. The main project output that will be disseminated is the documentation relative to production of the e-textiles projects undertaken by shall provide ideas for future activities targeting youth, to anyone interested in e-textiles and digita youth work. The documentation will be available on a number of platforms and social networks (som of which specifically geared towards youth work), namely: - Movilab, used mainly in France by organizations active in the field of digital mediation (ex. fablabs, makerspaces). - the participating organizations' websites - participating organizations ' facebook pages - Wikidebrouillards.com (used by youth workers affiliated to the national network Les petits débrouillards, across France) - salto- youth, section on tools - educational tool portal - instructables.com - some selected videos relating to the crafting of the e-textile project may be uploaded on youtube (Digijeuns'channel). Educational institutions, organizations active in youth work, and instructional environments, will be concerned by dissemination of projects' results, mainly in view of encouraging them to open up to new educational methods in youth work, in particular hands-on problem-based an project-based workshops involving digital technologies. They shall also be sensitized with regards the need for democratizing maker education and boost inclusion of female youth and other underrepresented minorities. The items that will be disseminated in this context are general information about the project supported by videos, photos, as well as the physical creations of participants (the e-textile projects). Laboral and Dimeb will be targeted by dissemination activities in view of sharing feedback on the tools for digital education developed by these two research centres (assessment and evaluation tools, and Eduwear kit, respectively). This target public will be reached via direct contact (e-mail, one to one communcation). Groups outside the professional network of participating organizations will be reached via public events gathering actors of the youth sector (formal and non formal, as well as more generally families and individuals): for example: - Open bidouille camp, Toulouse: yearly event on DIY and maker culture.on this occasion The public will also be informally introduced to the Erasmus + programme and its mobility opportunities for young people and youth practitioners - gatherings of organizations for non-formal and formal education (ex. Salon des ressources éducatives, in Toulouse and Montpellier, CSTI in Toulouse) - European code week (in all of the public, organized throughout Europe. The European code week event at the Fablab in Carcassonne in October 2016 is expected to gather over 100 people. - Fête de la science 2018: French nationa science festival taking place every year in October. Participation is open to all organizations involved in scientific mediation, including organization active in digital mediation. Digijeunes expect to engage over 150 people during this event. Additional dissemination channels cutting across all target groups are the following: -press releases (local newspaper where the participating organizations are based) Two articles on the on-line magazine Makery: one before the mobility activities (to recruit participants, to communicate about the project) another after the mobility activities (to preset its results).",,1
98,244,One Column,"questionnaire. For each task undertaken, participants will be asked to rate the following : - the support they received from the facilitators - the quality of the material and pedagogical tools deploy - the motivation to continue training on e textiles and ICT-based youth work - the extent to which th have learned something susceptible of enriching their professional practices in terms of theoretical and/or practical knowledge - the synergy of the group for that activity - they will be asked to identify any aspect of that activity they disliked and prescribe recommendations to improve it - the extent to which the activity was relevant to the purposes of the project - the extent to which the activity met their expectations The questionnaire will be submitted at two stages: the first time on the last day o the training, the second time after the training is completed. This will enable participants to suggest supplementary questions and/or different evaluation criteria in the meantime. The questionnaire wil be available on-line at freeonlinesurveys.com. Another way for participants to evaluate the mobility activities will be via the Trello platform set up for the programme. participants will be able to leave comments on specific modules of each activity, simply by targeting the Trello slot that's most releva (ex. arrival, practical workshops, etc.) Performance with respect to the expected deliverables evaluated via a number of criteria specified within the quality management plan. In particular, production of deliverables will be successful if: - at least one digital badge targeting young people o the topic of e-textiles will be ready for publication on the OBA website by the end of the second success of deliverables of the project, hence their degree of exploitation, once the mobility activitie will be terminated will be evaluated via the following methods: - number of views of the project craft by participants and uploaded on on-line platforms (makezin.com, instrutables.com, etc.) - number o young people undertaking the digital badge published on OBA - number of views of the videos on t e-textile projects uploaded on youtube Learning outcomes of participants: - We will be able to with youngsters once they will have returned to their respective countries. A higher level of confidence in the non-formal teaching of digital science, (e-textile, electronics, robotics) and related topics will indicate effective learning. participation of the partner organziations to any large scale initative (ex. Eu maker week) will also indicate that these entities have developed a positive attitude towards digital youth work and are ready to embrace it fully. - participants' interaction with local maker communities (whether for professional purposes or not) will be another indicator to measure the success of the project - Learning outcomes will be evaluated on the occasion of production of t e-textile projects. Although this will not give an image of individual learning outcomes (since these outputs will have been produced by groups or collectively), it will be possible to evaluate different groups and compare the results, assess their confidence in dealing with (hence also delivering in th future) hands-on, problem-based, project-based approach to learning. Finally, it will be possible to monitor participants learning outcomes daily via the tools described in section E.2. Evaluation of participants' performance with regards their ability to lead digital education workshops targeting youth will also occur on the occasion of another mobility programme we envisage to organize, abou one year after completion of this project. On that occasion, participants will be able to report on the strategies to lead educational workshops involving e-textiles or other digital tools, and exchange be practices to improve digital youth work further. Assessment of the project will concern the exchang with laboral and dimeb. The fact that throughout the project we will be employing tools issued from these two research centres is expected to be conducive to greater communication and cooperation interaction (for example to test or even prototype new pedagogical methods/tool in the are of digital education) between laboral and dimeb and digijeunes or any other participating organization.",,1
100,249,Two Columns - Base,Budget,,1
110,250,One Column,"For almost a decade, the maker movement has been making its own may into non-formal educatio Educators and researchers have been talking about the role of making activities in learning; they highlight the potential for project-based and hands-on approach to boost youth interest for inquiry and learning, to re-activate them from a social, psychological, professional point of view. One popular strand of making activities in the context of non formal education involve experimenting with computer programming, electronics, and robotics. Typically, girls are much less prone to participa in such initiatives than boys, mainly due to the negative stereotypes they nurture towards scientific and technical disciplines. Thus, the great promise of the maker movement to democratize access making as well as to its progressive spirit and philosophy are to be reconsidered in the face of evidence. If we believe that making activities and maker identities are crucial for empowerment, th it is our job to set up situations whereby all learners have the opportunity and will to engage. E- textiles promises to be the trojan horse that will enable girls to fully benefit from making activities a the maker movement. By combining fashion with electronic and computer programming, e-textiles offer female youth expanded access to materials and tools, resulting in opportunities to take on project leadership roles in highly technical areas. Project Objectives ● Innovate youth work by introducing new practices based on the combination of crafting textiles with computer programmin and electronics ● Exchange on tinkering as an emerging pedagogical approach, especially craftin e-textiles as a way to boost female participation in non formal educational activities ● Sensitize youth partake in a week-long training on e-textiles, in view of jumpstarting this practice in their own professional settings. The training will take place in France. The main activities of the course will be: - Introduction to electronic DIY for youth work purposes, via the Arduino open-source prototyping board - Introduction to e-textiles - Production of e-textiles projects, working in groups - Debate on how to assess making activities and monitor learning outcomes. Up-to-date tools and methods conceived specifically to serve this purpose will be presented and experimented. A second mobilit activity within the framework of this project will take place in Romania, where participants will continue to explore the practice of making in educational settings. At this stage, participants will: - Meet with the local maker community (Hatch hackerspace and Nod Makerspace, in Bucharest) - Learn about constructivist teaching methods (teaching methods based on hands on, immersive, participative approach, project based learning) - Explore initiatives aiming to support the integratio of the maker attitude in the field of education run at international scale - Practice maker education a makerspace/fablab setting - Discuss extra thoughts on building girl-inclusive maker workshops.",,1
110,251,One Column,"Learning Outcomes As a result of the training course participants will be able to: ● Get youngster involved in initiatives on electronic DIY, in particular about e-textiles ● Initiate and supervise activities targeting youth on the topics of e-textiles ● Identify and seize opportunities to constantly innovate youth workers’ professional practices ● Encourage female youth participation in educational activities on technical topics. Target public ● Anyone with a passion/interest in digital technologies, and interested in youth work ● Individuals active in the promotion of DIY and/or digi culture interested in running educational activities targeting young people ● Youth workers with a experience in non formal digital education or willing to launch educational workshops on this topic Youth workers seeking ways to boost participation of female youth in educational activities on ICT",,1
111,252,More Than Two Columns,Name of the Organisation | Country of the Organisation | Type of the Organisation,,All
111,253,One Column,Country of the Organisation Type of the Organisation,,1
111,255,Two Columns - Base,Total number of participating organisations excluding consortium members where applicable,,1
111,255,Two Columns - Line Break,8,,2
111,256,One Column,Total number of participating organisations excluding consortium members where applicable,,1
112,257,More Than Two Columns,Activity Type | No. of Activities | No. of Participants | Participants with Fewer Opportunities,,All
112,258,One Column,No. of Activities Participants with Fewer Opportunities,,1
112,260,More Than Two Columns,Total | 4 | 36 | 6,,All
112,261,More Than Two Columns,Acti vity Id | Activity Type | Travel | Individu al Support | Organis ational Support | Special Needs Support | Exceptio nal Costs | Total,,All
112,262,One Column,Acti vity Id Individu al Support Organis ational Support Special Needs Support Exceptio nal Costs,,1
112,267,More Than Two Columns,Total | 9310.00 EUR | 0.00 EUR | 15120.00 EUR | 0.00 EUR | 0.00 EUR | 24430.00 EUR,,All
112,268,Two Columns - Base,9310.00,,1
112,268,Two Columns - Base,,,1
112,268,Two Columns - Line Break,EUR,,2
112,269,One Column,0.00 EUR,,1
112,270,Two Columns - Base,15120.00,,1
112,270,Two Columns - Base,,,1
112,270,Two Columns - Line Break,EUR,,2
112,271,One Column,0.00 EUR 0.00 EUR,,1
112,273,Two Columns - Base,24430.00,,1
112,273,Two Columns - Base,,,1
112,273,Two Columns - Line Break,EUR,,2
112,274,Two Columns - Base,Grant Calculated,,1
112,274,Two Columns - Line Break,24430.00 EUR,,2
114,275,One Column,"   For the exact description of the collected personal data, the purpose of the collection and the description of the processing, please refer to the Specific Privacy Statement (see link below) associated with this form",,1
